,Model,MSE,MAE,R-squared
0,OneGCNLayer,0.05501463,0.20681983,0.32340653081128135
1,TwoGCNLayer,0.08148935,0.2474746,-0.0012406913614154136
2,ThreeGCNLayer,0.08134047,0.2470225,-0.0018707752474428874
3,FourGCNLayer,0.081393555,0.2471881,-0.0015103158049769954
