,Model,MSE,MAE,R-squared
0,OneGATLayer,0.021964962,0.12967865,0.7289808529094817
1,TwoGATLayer,0.01981558,0.122856356,0.755371482862104
2,ThreeGATLayer,0.016979577,0.11527469,0.7909757296301324
3,FourGATLayer,0.081520535,0.24693733,-0.0016978609201216623
