,Model,MSE,MAE,R-squared
0,OneGCNLayer,0.052514937,0.19949116,0.35593810944190135
1,TwoGCNLayer,0.0625493,0.2130782,0.23380360117103355
2,ThreeGCNLayer,0.028963272,0.13846333,0.643459794219452
3,FourGCNLayer,0.034144085,0.14103657,0.5785397392839009
