,Model,MSE,MAE,R-squared
0,OneGATLayer,0.056585673,0.19972079,0.30393757868909566
1,TwoGATLayer,0.04762226,0.19264017,0.4154856147193815
2,ThreeGATLayer,0.026125237,0.13400309,0.6804622892298271
3,FourGATLayer,0.080973916,0.24609828,0.005058817061392757
